Name,Product Price,Product URL,Rating,No. of Reviews,ASIN,Item Weight,Manufacturer,Model Number,Quantity,Generic Name,Description
"Hammonds Flycatcher Genuine Leather Laptop Bag for Men/Office Bag for Men, Brown | Fits Upto 16 Inch Laptop/MacBook| Leather Bag with Shoulder Straps | Laptop Messenger Bag/Leather Bag for Men |","2,591",https://amazon.in/HAMMONDS-FLYCATCHER-Genuine-Shoulder-Messenger/dp/B07P2TQH78,4.3 out of 5 stars,"4,893",B07P2TQH78,600 g,Hindustan Foam,LB106BLK,1.00 count,Leather Laptop Messenger Bag,N/A
Wesley Milestone 15.6 inch 25 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack (Black),497,https://amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B07NJRPJ6Q,4.3 out of 5 stars,"12,760",B07NJRPJ6Q,‎490 g,"‎Wesley, Longani Trading Company, F-82, Sector-1, Bawana Industrial Area, Delhi-110039",‎Wes-Mile-Black,1 U,Laptop backpack,"With a slim, sleek and compact   design you will love how this backpack can look small and compact even though   it has 2 spacious compartments to store your gadgets, books, keys and even a   water bottle!"
FATMUG Laptop Bag For Men - Convertible Backpack For Office And Travel (Light Grey Oxford Fabric),"1,499",https://amazon.in/FATMUG-Laptop-Bag-Men-Convertible/dp/B084LFX8ZZ,4.4 out of 5 stars,"1,911",B084LFX8ZZ,N/A,N/A,N/A,N/A,N/A,
Bennett™ Mystic 15.6 inch (39.6cm) Laptop Briefcase Shoulder Sling Office Business Professional Travel Messenger Bag for Men and Women Water Repellent Formal Executive Bags (Grey) 6 Months Warranty,499,https://amazon.in/BennettTM-Mystic-Shoulder-Messenger-Repellent/dp/B09321GJXZ,4.0 out of 5 stars,"5,741",B09321GJXZ,‎499 g,"‎Texcoco Enterprices, Texcoco Enterprices, 9958166528",‎Mystic,1 count,Laptop Briefcase,N/A
HEROZ Hammer Unisex Nylon 35 L Travel Laptop Backpack Water Resistant Slim Durable Fits Up to 17.3 Inch Laptop Notebook (Black),"1,199",https://amazon.in/HEROZ-Backpack-Resistant-Durable-Notebook/dp/B09B7KC93T,4.2 out of 5 stars,"1,129",B09B7KC93T,750 g,A. H. Creation,60,N/A,N/A,N/A
Tabelito® Laptop Bag For Men and women Briefcase 15.6 Inch (39.6 cm) Messenger Side Shoulder Travel bags for mens Water Resistant gifts office bag for men,549,https://amazon.in/Tabelito-Office-Laptop-Briefcase-Women/dp/B08FKXCJNQ,4.0 out of 5 stars,"2,560",B08FKXCJNQ,499 g,Tabelito,TAB-BC-G,1 U,Laptop Briefcase,N/A
"The Purple Tree Multifunction Waterproof Laptop Travel Backpack with Shoe Compartment, Shoulder Bag, 35 L Laptop Backpack with USB Charging, Flight Cabin Backpack, Antitheft Zipper Bag","2,499",https://amazon.in/Purple-Tree-Multifunction-Waterproof-Compartment/dp/B0BKSXQBXX,3.7 out of 5 stars,20,B0BKSXQBXX,640 g,N/A,BACKPACK00006_BLACK,1.00 count,BackPack,N/A
Half Moon 30L Waterproof 15.6 inch Laptop Office School College Bag Backpack for Men Women Boys & Girls,589,https://amazon.in/Half-Moon-Waterproof-Laptop-Backpack/dp/B09QM9N1B3,3.7 out of 5 stars,358,B09QM9N1B3,420 g,Half_Moon,Laptop backpack,N/A,school bags for boys,"FEATURES: DURABLE MATERIAL: Made with strong polyester fabric with heavy zippers. Serves the need of a professional office laptop bag, college bag, student backpack, school bag and is suitable for all, i.e. boys, girls, menं and womenं ; COMFY & STURDY: Its padded, adjustable shoulder straps do not put pressure on the shoulders. Foamed padded top handle is easy on your palm and fingers; DURABLE AND LIGHT WEIGHT MATERIAL: Made with strong yet light weight polyester fabric with heavy zippers; INTERNAL ORGANISER: This backpack features an Internal Organiser that is small pockets inside the front compartment for holding pens, ID cards, etc. These pockets are very useful in organizing your small day-to-day items; LOTS OF STORAGE SPACE & POCKETS: One separate Padded laptop compartment. Multiple compartments can store lots of stuff, that too organised."
ADISA Women Girls Floral Print Sling Bag,495,https://amazon.in/ADISA-Women-Girls-Floral-SL5072-CRE_Cream/dp/B09B56BCXR,4.3 out of 5 stars,511,B09B56BCXR,330 g,ADISA,SL5103-BLA,1.00 Handbag,Sling Bag,N/A
NIVIA Deflate Round 01 Polyester Gym Bag/Unisex Gym Bags/Adjustable Shoulder Bag for Men/Duffle Gym Bags for Men/Carry Gym Accessories/Fitness Bag/Sports &Travel Bag/Gym kit Bag,369,https://amazon.in/Nivia-Deflate-5180BK-Polyester-Round/dp/B07222KX3S,4.2 out of 5 stars,"7,546",B07222KX3S,N/A,N/A,N/A,N/A,N/A,
